OPERAÇÃO ASSISTIDA ADOLFO PINHEIRO - BROOKLIN - SETEMBRO/17;;;;;;;;;;;;;;;
data;semana;Adolfo Pinheiro;Alto da Boa Vista;Borba Gato;Brooklin;TOTAL;;;;;;;;;
06/09/17;4ª feira; 1.235 ; 972 ; 1.125 ; 1.982 ; 5.314 ;;;;;;;;;
07/09/17;5ª feira; 832 ; 675 ; 737 ; 1.156 ; 3.400 ;;;;;;;;;
08/09/17;6ª feira; 1.471 ; 634 ; 860 ; 1.045 ; 4.010 ;;;;;;;;;
09/09/17;sábado; 890 ; 557 ; 577 ; 824 ; 2.848 ;;;;;;;;;
SUB-TOTAL;; 4.428 ; 2.838 ; 3.299 ; 5.007 ; 15.572 ;;;;;;;;;
11/09/17;2ª feira; 1.375 ; 687 ; 925 ; 772 ; 3.759 ;;;;;;;;;
12/09/17;3ª feira; 1.538 ; 536 ; 944 ; 782 ; 3.800 ;;;;;;;;;
13/09/17;4ª feira; 1.373 ; 439 ; 856 ; 703 ; 3.371 ;;;;;;;;;
14/09/17;5ª feira; 1.317 ; 499 ; 854 ; 680 ; 3.350 ;;;;;;;;;
15/09/17;6ª feira; 1.377 ; 505 ; 849 ; 696 ; 3.427 ;;;;;;;;;
16/09/17;sábado; 872 ; 455 ; 559 ; 808 ; 2.694 ;;;;;;;;;
SUB-TOTAL;; 7.852 ; 3.121 ; 4.987 ; 4.441 ; 20.401 ;;;;;;;;;
TOTAL ACUMULADO;; 12.280 ; 5.959 ; 8.286 ; 9.448 ; 35.973 ;;;;;;;;;
18/09/17;2ª feira; 1.345 ; 463 ; 836 ; 643 ; 3.287 ;;;;;;;;;
19/09/17;3ª feira; 1.332 ; 485 ; 919 ; 762 ; 3.498 ;;;;;;;;;
20/09/17;4ª feira; 1.355 ; 466 ; 849 ; 648 ; 3.318 ;;;;;;;;;
21/09/17;5ª feira; 1.312 ; 417 ; 871 ; 690 ; 3.290 ;;;;;;;;;
22/09/17;6ª feira; 1.180 ; 394 ; 859 ; 620 ; 3.053 ;;;;;;;;;
23/09/17;sábado; 755 ; 389 ; 606 ; 473 ; 2.223 ;;;;;;;;;
SUB-TOTAL;; 7.279 ; 2.614 ; 4.940 ; 3.836 ; 18.669 ;;;;;;;;;
TOTAL ACUMULADO;; 19.559 ; 8.573 ; 13.226 ; 13.284 ; 54.642 ;;;;;;;;;
25/09/17;2ª feira; 1.307 ; 413 ; 816 ; 605 ; 3.141 ;;;;;;;;;
26/09/17;3ª feira; 1.210 ; 452 ; 893 ; 622 ; 3.177 ;;;;;;;;;
27/09/17;4ª feira; 1.227 ; 453 ; 750 ; 605 ; 3.035 ;;;;;;;;;
28/09/17;5ª feira; 1.178 ; 460 ; 833 ; 560 ; 3.031 ;;;;;;;;;
29/09/17;6ª feira; 1.121 ; 428 ; 843 ; 501 ; 2.893 ;;;;;;;;;
30/09/17;sábado; 608 ; 371 ; 429 ; 485 ; 1.893 ;;;;;;;;;
SUB-TOTAL;; 6.651 ; 2.577 ; 4.564 ; 3.378 ; 17.170 ;;;;;;;;;
TOTAL DE SETEMBRO;; 26.210 ; 11.150 ; 17.790 ; 16.662 ; 71.812 ;;;;;;;;;
Fonte: Diretoria de Operações/Coordenadoria de Estratégia Operacional;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
OPERAÇÃO ASSISTIDA ADOLFO PINHEIRO - BROOKLIN - OUTUBRO/17;;;;;;;;;;;;;;;
data;semana;Adolfo Pinheiro;Alto da Boa Vista;Borba Gato;Brooklin;TOTAL;;;;;;;;;
02/10/17;2ª feira; 1.050 ; 437 ; 742 ; 499 ; 2.728 ;;;;;;;;;
03/10/17;3ª feira; 1.157 ; 379 ; 860 ; 574 ; 2.970 ;;;;;;;;;
04/10/17;4ª feira; 1.102 ; 419 ; 696 ; 543 ; 2.760 ;;;;;;;;;
05/10/17;5ª feira; 1.208 ; 460 ; 891 ; 603 ; 3.162 ;;;;;;;;;
06/10/17;6ª feira; 1.134 ; 398 ; 826 ; 621 ; 2.979 ;;;;;;;;;
07/10/17;sábado; 527 ; 320 ; 366 ; 343 ; 1.556 ;;;;;;;;;
SUB-TOTAL;; 6.178 ; 2.413 ; 4.381 ; 3.183 ; 16.155 ;;;;;;;;;
09/10/17;2ª feira; 1.179 ; 467 ; 769 ; 503 ; 2.918 ;;;;;;;;;
10/10/17;3ª feira; 1.152 ; 477 ; 882 ; 515 ; 3.026 ;;;;;;;;;
11/10/17;4ª feira; 1.119 ; 462 ; 806 ; 530 ; 2.917 ;;;;;;;;;
12/10/17;5ª feira; não houve operação assistida ;;;;;;;;;;;;;
13/10/17;6ª feira; 759 ; 308 ; 555 ; 478 ; 2.100 ;;;;;;;;;
14/10/17;sábado; 507 ; 271 ; 368 ; 327 ; 1.473 ;;;;;;;;;
SUB-TOTAL;; 4.716 ; 1.985 ; 3.380 ; 2.353 ; 12.434 ;;;;;;;;;
16/10/17;2ª feira; 1.104 ; 456 ; 774 ; 516 ; 2.850 ;;;;;;;;;
17/10/17;3ª feira; 1.151 ; 436 ; 864 ; 502 ; 2.953 ;;;;;;;;;
18/10/17;4ª feira; 1.143 ; 491 ; 854 ; 472 ; 2.960 ;;;;;;;;;
19/10/17;5ª feira; 1.187 ; 446 ; 853 ; 491 ; 2.977 ;;;;;;;;;
20/10/17;6ª feira; 1.018 ; 394 ; 746 ; 512 ; 2.670 ;;;;;;;;;
21/10/17;sábado; 526 ; 390 ; 403 ; 408 ; 1.727 ;;;;;;;;;
SUB-TOTAL;; 6.129 ; 2.613 ; 4.494 ; 2.901 ; 16.137 ;;;;;;;;;
TOTAL DE OUTUBRO;; 17.023 ; 7.011 ; 12.255 ; 8.437 ; 44.726 ;;;;;;;;;
;;;;;;;;;;;;;;;
TOTAL GERAL ;; 43.233 ; 18.161 ; 30.045 ; 25.099 ; 116.538 ;;;;;;;;;
Fonte: Diretoria de Operações/Coordenadoria de Estratégia Operacional;;;;;;out/17;;;;;;;;;
